item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XS,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,S,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,M,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,L,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XL,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXL,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXXL,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XS,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,S,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,M,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,L,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XL,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXL,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXXL,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_black_sapphire.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XS,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,S,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,M,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,L,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XL,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXL,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650.0,XXXL,White,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arcteryx_beta_ar_jacket_men_s_solitude_void.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XS,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,S,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,M,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,L,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XL,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XXL,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XS,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,S,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,M,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,L,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XL,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XXL,Green,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_forage_tatsu.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XS,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,S,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,M,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,L,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XL,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XXL,Red,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_mars.png
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500.0,S,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arcteryx_beta_sv_pant_men_s_black.jpeg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500.0,M,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arcteryx_beta_sv_pant_men_s_black.jpeg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500.0,L,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arcteryx_beta_sv_pant_men_s_black.jpeg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500.0,XL,Black,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arcteryx_beta_sv_pant_men_s_black.jpeg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700.0,S,Red,Shell Bib,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arcteryx_alpha_sv_bib_pant_men_s_dynasty.jpeg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700.0,M,Red,Shell Bib,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arcteryx_alpha_sv_bib_pant_men_s_dynasty.jpeg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700.0,L,Red,Shell Bib,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arcteryx_alpha_sv_bib_pant_men_s_dynasty.jpeg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700.0,XL,Red,Shell Bib,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arcteryx_alpha_sv_bib_pant_men_s_dynasty.jpeg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450.0,S,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arcteryx_sabre_pant_men_s_vitality.jpeg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450.0,M,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arcteryx_sabre_pant_men_s_vitality.jpeg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450.0,L,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arcteryx_sabre_pant_men_s_vitality.jpeg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450.0,XL,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arcteryx_sabre_pant_men_s_vitality.jpeg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450.0,XXL,Blue,Shell,2,5,2026-02-07,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arcteryx_sabre_pant_men_s_vitality.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,S,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,M,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,L,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,XL,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,S,Black,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_black.png
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,M,Black,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_black.png
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,L,Black,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_black.png
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,XL,Black,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_black.png
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,S,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,M,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,L,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,XL,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,,One Size,Black,Boots,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_black.png
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,,One Size,White,Boots,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_white.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Beige,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_summit_taupe.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Beige,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_summit_taupe.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Beige,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_summit_taupe.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Beige,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_summit_taupe.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Black,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_black.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Black,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_black.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Black,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_black.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Black,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_black.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Grey,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gray_heather.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Grey,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gray_heather.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Grey,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gray_heather.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Grey,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gray_heather.png
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,S,Black,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_true_black.png
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,M,Black,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_true_black.png
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,L,Black,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_true_black.png
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,XL,Black,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_true_black.png
Men's Burton [ak]® Swash GORE-TEX 2L Jacket,Burton,jacket,Men,6,519.95,XXL,Black,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-swash-gore-tex-2l-jacket/W26-100011.html?dwvar_W26-100011_variationColor=A04,product_images/burton_true_black.png
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,S,Grey,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_gray_cloud.png
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,M,Grey,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_gray_cloud.png
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,L,Grey,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_gray_cloud.png
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,XL,Grey,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_gray_cloud.png
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,XXL,Grey,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_gray_cloud.png
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,S,Beige,Other,3,0,2026-02-07,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_summit_taupe.png
